Generation, Population, AVG_speed, AVG_size, AVG_sense 
652,38,1.6,10.3,111.3
653,45,1.4,9.7,108.7
654,44,1.5,9,103.6
655,44,1.5,9,111.3
656,46,1.6,8.9,117.8
657,43,1.5,9.1,110.6
658,41,1.6,9.6,112
659,42,1.5,9.9,113
660,43,1.5,9.1,112.9
661,48,1.5,9.3,111
662,45,1.6,9.6,108.7
663,40,1.5,9.2,113.2
664,43,1.4,9.7,113
665,47,1.5,10.2,110.9
666,51,1.5,9.7,110.5
667,49,1.4,9.5,115.5
668,45,1.5,9,116.3
669,48,1.4,9,119.5
670,45,1.5,9.7,113.3
671,45,1.4,9.9,111.3
672,42,1.5,9.5,119.9
673,49,1.4,9.4,107.5
674,44,1.4,9.3,113.5
675,49,1.4,9.4,111.8
676,49,1.5,10.4,117.6
677,47,1.4,10.1,110
678,40,1.7,9.6,112.8
679,51,1.4,9.5,114.3
680,50,1.5,9.2,111.3
681,46,1.6,9.4,114.9
682,42,1.5,9.7,114.9
683,47,1.6,10.5,109.7
684,35,1.5,9.7,110.9
685,40,1.5,9.7,109.2
686,46,1.5,10.3,111.4
687,51,1.5,9.5,115.8
688,44,1.5,10,117.7
689,46,1.5,9.9,108.1
690,48,1.6,9.6,112.7
691,44,1.5,10.4,109.8
692,43,1.6,9.4,115.1
693,41,1.3,10.4,109.1
694,47,1.5,9.9,110.6
695,49,1.5,8.8,112.4
696,45,1.5,9.1,116
697,49,1.5,9.8,108.9
698,47,1.5,9,110.2
699,44,1.5,9.1,114
700,46,1.4,9.5,113.6
701,41,1.6,8.9,111.9
702,46,1.5,9.6,110.8
703,48,1.6,9.8,110.4
704,44,1.5,8.9,112.9
705,46,1.4,9.7,111.7
706,44,1.5,9.4,114.5
707,45,1.6,9.1,111.4
708,51,1.5,9.4,108
709,47,1.4,8.3,111.2
710,46,1.5,10.1,108.6
711,42,1.6,9.6,116
712,44,1.4,9.1,109.2
713,44,1.5,10.1,116.9
714,46,1.5,9.4,113.3
715,42,1.5,9.7,107.8
